gh_username,company,twitter,location
ubugnu,Ubugnu,,Algeria
RAHAMNIabdelkaderseifelislem,No Company,,"Saida,Algeria"
nezlicodes,No Company,rand0m_walk3r,"Algiers, Algeria"
Achour,No Company,,Algeria
SychO9,@flarum,,Algeria
aimen08,Wechalet,AimenMT2,Algeria
AmaraMeh,Arc,,"Bejaia, Algeria"
Younes-Charfaoui,@dscuik,CharfaouiYounes,"Tiaret, Algeria"
samirdjelal,Payd / Click2secure,samirdjelal,Algeria
Edward-NewGate-KOC,No Company,,Algeria
Yasser-Belatreche,No Company,YasserBelatrec1,"Jijel, Algeria"
bkader,Ianhub™,_bkader,"Djelfa, Djelfa, Algeria"
Kadacheahmedrami,Hawiyat,,algeria
BadreddineZatout,@ Higher School Of<br/>Computer<br/>Science<br/>[<br/>Esi<br/>Alger<br/>]<br/>,B_Note_99,Batna/Algiers - Algeria
pagimos,Digital Bitwave,pagimos,Algeria
abdelillahbel,Sarl Rajafood Industrie,abdelillahbell,Algeria
issam-seghir,No Company,issam_seghirr,Algeria
s77rt,No Company,,Algeria
MedRedha,Head Of Mobile Development<br/>@researchgate<br/>,,"Berlin, Germany / Algiers, Algeria"
0xWerz,No Company,werz0xff,Algeria
Katumbela,@gokside,joao_katumbela,LUANDA
noejunior792,Itel - Institute Of<br/>Telecomunications<br/>,noejunior299,Angola/Luanda
josecaseiro,Musickool Lda,,Angola
overlineink,"Principal Frontend Engineer @<br/>Appy<br/>People,<br/>Co-founder<br/>Of<br/>@businx<br/>",overlineink,"Luanda, Angola"
Nicasiomarques,Interest Protocol,MarquesNicasio,"Luanda, Angola"
iamrosada0,No Company,iamrosada_,ANGOLA
marianoj8,Wasp-ti,,"Angola, Luanda"
EmanuelJoseCandido,No Company,,"Luanda, Angola"
jedin01,Institute Of Telecomunications -<br/>Itel<br/>,jdn_098,"Luanda, Angola"
TheKitumba,No Company,TheKitumba,"Angola, Luanda"
CarlCr,@atlastechnol,carlcr8,"Luanda, Angola"
aurennunes,@spollytech,,Angola
DevDario,Angoway Org,,"Luanda,  Angola"
nuelst,No Company,,"Luanda, Angola"
afonsodasilva1,No Company,,Angola
joel2011140,No Company,joelmarinho2016,Luanda
ivandro-neto,@ucallangola,IvandroNeto2,"Luanda, Angola"
geraldo916,Octogono,Geraldo_Munhika,Angola-Luanda
ithustle,@toquemedia,hackgarcia,"Luanda, Angola"
Dumilson,No Company,,"Luanda, Angola"
treasure567,@trenalyze,treasure_devops,"Benin City, Nigeria"
jocha28,Cerco | Netpro Consulting<br/>|<br/>Rebel<br/>X<br/>,,Cotonou
BOCOVO,@bcv-tech,juste_bocovo,"Cotonou, Benin"
Abdoul-wakilou,Abdev - Freelance,abdev229,"Cotonou, Benin"
ChafikHadjAbdouRazack,No Company,chafik_Hadj,Benin
devalade,No Company,dev_alade,"Cotonou,Littoral, Benin"
asiedu-kev,@djamoapp,ASIEDUJosh1,"Cotonou, Bénin"
webcreation-dev,Adjilan,,"Cotonou , Benin"
Reqima-dev,No Company,,"Benin, Cotonou"
chaldrak,No Company,chaldrakus,Benin
tcisse,Axa-zara,TairouT,Cotonou Benin
etheocledk,No Company,,"Cotonou, Benin"
aploon,Apwebstore,_aploon,COTONOU - BENIN
mariechristsagbo,No Company,sagbo_christ,Cotonou
Tryboy869,No Company,,Benin
TitanSage02,No Company,,Benin
iyosayi0x,No Company,iyosayi0x,"Nigeria , Benin"
julesadonsi,Software Engineer At @wetillix<br/>,jules_adonsi,"Benin, Cotonou"
Nosa-Drexx,@ulesson-education Miva,NosaDrexx,"Benin, Nigeria"
RZeroDev,No Company,,Abomey-Calavi
Chalebgwa,Foresight,ubermensch0401,"Botswana,Gaborone"
kalungia,Imbra,,"Botswana, Gaborone"
BakangMonei,@swiftiq,MoneiBakang,"Gaborone, Botswana"
WyvernPirate,Botswana International University Of<br/>Science<br/>And<br/>Technology<br/>,,"Maun, Botswana"
ChinyangaTL,@africacodeacademy @wholeapp,,"Gaborone, Botswana"
kingbaaitse,"Oratory League, Llc",,"Gaborone, Botswana"
BegangLive,No Company,,"Gaborone, Botswana"
Fuzzworth,@modisar,FuzzFoo,Botswana
Goitseone-Themba,Botswana International University Of<br/>Science<br/>And<br/>Technology<br/>,GoitseoneThemba,Botswana
Tebalo,Digital Fastforward,,"Botswana, Gaborone-Mokobaxane"
Cse21-034,Fountspark Pty Ltd,,Gaborone
DreuDavids,Africacodeacademy,,Gaborone Botswana
kagisopg,Guruweb,,"Gaborone, Botswana"
Ramosai,No Company,,"Gaborone, Botswana"
samuelowilliams,No Company,,"Palapye, Botswana"
AnthonyBeerus,Kaizenic Ai,,"Gaborone, Botswana"
lendershub-dev,@lenders Hub Marketplace,,"Gaborone, Botswana"
samsonmabetho,@modisar,,Botswana
blufox,Right Here,,Botswana
mrdiin,Innovateium (pty) Ltd,mrdiin_dev,Gaborone
a-dera,@geniuskidacademy @club-informatique-i,,Ouagadougou
spwoodcock,@hotosm,,"Ouagadougou, Burkina Faso"
nanaelie,No Company,pyfs_dev,Burkina Faso / Bobo Dioulasso
kulturman,No Company,,Ouagadougou
faso-dev,Declic Africa,fasodev,"Burkina-Faso,Ouagadougou"
ao627515,Odg Enterprise,,"Ouagadougou, Burkina Faso"
rxzkie,No Company,,"Ouagadougou, Burkina Faso"
BoukaryDiallo,No Company,boubakarpi,"Ouagadougou, Burkina Faso"
serge-eric-kalaga,Ticanalyse,,"Ouagadougou, Burkina Faso 🇧🇫"
Tiama01,No Company,TiamaBernard,"Ouagadougou, Burkina Faso"
maarazak,No Company,,Ouagadougou/1200 logements
Assime23,Campusfaso,,"Ouagadougou, Burkina Faso"
Shazam72,No Company,JFrancois_Zouba,"Ouagadougou, Burkina Faso"
wendkuni90,No Company,,Ouagadougou
adamsoro0321,No Company,,"BURKINA FASO  , Ouagadougou"
rikudosama,Taariam Technologie,rikudosama,"Ouagadougou, Burkina Faso"
YaroEmmanuel,Yaangre Tech,,Ouagadougou / Koudougou
ofernand21,Vision Innov,ofernand21,Ouagadougou
Rafik226,No Company,,"Burkina Faso, Kadiogo, Ouagadougou"
okcid92,No Company,,Ouagadougou
arsou2015,Exec,,Burundi
allyelvis,@aenzbi,AllyElvis1,Burundi
Blaise28,Magis Fintech Solution,,Burundi/Bujumbura
EdgarEldy,@accenture,EdgarEldy,"Bujumbura, Burundi"
Evran0,Riha Telecom,,"Bujumbura,  Burundi"
INGANZAMARUMPU,Hogitugende,inganzamarumpu,"Bujumbura, Burundi"
chriscedrick,No Company,,"Bujumbura,Burundi"
kiddocoder,From Home,coderkiddo,"Bujumbura, Burundi"
sgenlecroyant,Asyst Resources Ltd,sgenlecroyant,Bujumbura Burundi
JovinMtl,Self-employed,Mtl_Thierry_Jov,"Bujumbura, Burundi"
jeremylanes,Lane Industries,switchlane3,Bujumbura
EloM28,No Company,,BURUNDI
TonyBimenyi,@hogiburundi,bimenyimana_b,"Bujumbura, Burundi"
tertcoder,Mediabox,bon_tertius,"Bujumbura, Burundi"
Ndikuma,No Company,AdnesNdiku10883,Burundi
dukizwe,Mediabox,dukizwee,Bujumbura
NIMPAYE,@ubuhingavizion,,Burundi
mugar,No Company,,Burundi
muco-rolle,Leapa,mucotreso,"Bujumbura, Burundi"
ArtcalO,@ksquad,ArtcalO97,"Bujumbura, BURUNDI"
Novus-Tech237,Novus Technologies,,"Yaounde, Cameroon"
momo-87,Full-stack Developer,Momo_yde,Cameroon - Yaounde
chojuninengu,Clemios,chojuninengu,Cameroon
OkonoWil,@wetell-africa  @jeunesmentors @sylvanacare<br/><br/>,OkonoWilfried,"Douala,Cameroon"
Tomdieu,Trixgroup,navicorp_,Cameroon
itzomen,Traleor,itz_omen,"Buea, Cameroon"
ln-dev7,@mus-inn,ln_dev7,Cameroon
bpsmartdesign,@think-dev-io,bpsmartdesign,"Yaoundé - Douala, Cameroon"
BorisGautier,"@gpchat-platform, @geosmfamily",Boris_Gauty,"Douala,Cameroun"
